LocationID,PeakTime,TotalTravelRate,Fluctuations,MFNIL
177,55,0.047535627,3,0.05180283
178,55,0.176723439,15,0.157120037
179,52,0.095112965,15,0.093792789
180,52,0.082040377,7,0.070858056
181,52,0.043138686,3,0.05146052
182,52,0.069528752,5,0.174349612
183,56,0.007967061,1,0.011638521
184,50,0.216350174,7,0.16556367
185,54,0.151009153,22,0.19237791
186,54,0.128629869,4,0.330670927
187,52,0.088644421,3,0.110908261
188,53,0.032983116,1,0.08477864
189,52,0.151165198,1,0.141716111
190,52,0.024092539,2,0.019169329
191,53,0.035750418,1,0.095846645
192,54,0.019962082,2,0.01665906
193,52,0.09416406,3,0.124030123
194,52,0.022757826,1,0.104860794
195,54,0.023709012,3,0.106800548
196,52,0.029800397,2,0.143541762
197,56,0.010147878,1,0.035257873
198,54,0.00870686,3,0.033089913
199,52,0.016171294,1,0.064011867
200,55,0.01938406,2,0.077818348
201,58,0.005895832,1,0.017343679
202,54,0.010600498,1,0.030123231
203,54,0.038451059,5,0.192948425
204,55,0.012778091,1,0.036741214
205,54,0.094314921,1,0.084322227
206,54,0.035001703,1,0.128023733
207,54,0.066876232,1,0.295869466
208,54,0.023657045,1,0.085006846
209,52,0.021921792,1,0.08044272
210,54,0.013091587,1,0.038110452
211,53,0.033709236,2,0.131446828
212,54,0.011579456,1,0.028297581
213,56,0.010505226,1,0.006389776
214,55,0.046379224,11,0.114103149
215,54,0.021194914,1,0.072797809
216,55,0.011252988,1,0.032861707
217,52,0.025191662,2,0.082154267
218,53,0.014691064,1,0.040848927
219,56,0.008951279,1,0.026015518
220,52,0.060607194,1,0.048722045
221,53,0.018864234,2,0.062186216
222,52,0.109626973,2,0.101665906
223,54,0.052557471,2,0.23950251
224,56,0.008923447,1,0.00650388
225,53,0.01766387,1,0.058078503
226,53,0.027549583,2,0.099726152
227,52,0.082198709,1,0.075650388
228,53,0.012035646,2,0.035029667
229,32,0.021176753,2,0.074167047
230,54,0.029420612,1,0.104062072
231,53,0.008848091,1,0.024532177
232,52,0.034167825,2,0.103491556
233,54,0.040303557,1,0.058877225
234,56,0.006200732,1,0.012779553
235,47,0.018088156,1,0.042788681
236,53,0.019891957,1,0.06378366
237,55,0.01852047,1,0.050319489
238,54,0.01019237,1,0.019853948
239,56,0.009747177,1,0.02247832
240,52,0.029611501,1,0.075308079
241,52,0.029435945,1,0.064582382
242,55,0.018264424,2,0.029324509
243,52,0.018275541,1,0.038795071
244,53,0.019903603,2,0.033204016
245,51,0.037954186,8,0.101665906
